year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,12,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",693.00,135.00,27.92,4.03,35.16,0.00,67.90,11.00,0.00,9794.00,2155.00,365.00,1555.00,0.00,5719.00
2019,12,AA,American Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",984.00,151.00,54.01,3.42,33.06,0.00,60.51,0.00,2.00,9328.00,4009.00,148.00,1068.00,0.00,4103.00
2019,12,AS,Alaska Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",31.00,8.00,1.98,1.00,4.28,0.00,0.74,0.00,0.00,455.00,222.00,28.00,185.00,0.00,20.00
2019,12,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",269.00,91.00,46.09,0.91,20.94,0.00,23.06,4.00,1.00,8526.00,4023.00,281.00,1083.00,0.00,3139.00
2019,12,C5,"Commutair Aka Champlain Enterprises, Inc.",RDU,"Raleigh/Durham, NC: Raleigh-Durham International",25.00,12.00,1.21,1.12,6.59,0.00,3.08,0.00,0.00,882.00,157.00,184.00,254.00,0.00,287.00
2019,12,DL,Delta Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",816.00,124.00,49.81,5.65,20.43,0.00,48.11,0.00,1.00,7012.00,2770.00,417.00,856.00,0.00,2969.00
2019,12,EV,ExpressJet Airlines LLC,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",30.00,4.00,1.00,0.04,0.16,0.00,2.81,0.00,0.00,185.00,40.00,4.00,3.00,0.00,138.00
2019,12,F9,Frontier Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",199.00,32.00,14.08,0.72,8.40,0.00,8.79,1.00,0.00,1806.00,736.00,37.00,349.00,0.00,684.00
2019,12,G4,Allegiant Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",22.00,4.00,1.68,1.00,0.05,0.00,1.27,0.00,0.00,190.00,106.00,44.00,3.00,0.00,37.00
2019,12,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",416.00,91.00,14.67,0.60,12.62,0.00,63.11,5.00,1.00,8241.00,1453.00,25.00,498.00,0.00,6265.00
2019,12,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",83.00,19.00,5.11,1.00,5.71,0.00,7.17,2.00,0.00,1098.00,447.00,20.00,207.00,0.00,424.00
2019,12,NK,Spirit Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",168.00,41.00,9.43,0.09,13.09,2.28,16.12,3.00,0.00,2953.00,666.00,13.00,948.00,86.00,1240.00
2019,12,OH,PSA Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",127.00,39.00,10.70,0.00,10.08,0.00,18.21,3.00,0.00,3061.00,1016.00,1.00,348.00,0.00,1696.00
2019,12,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",37.00,7.00,2.92,0.00,2.22,0.00,1.86,1.00,0.00,468.00,79.00,0.00,113.00,0.00,276.00
2019,12,UA,United Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",374.00,100.00,27.07,3.37,22.84,0.00,46.73,1.00,0.00,7203.00,1325.00,936.00,839.00,0.00,4103.00
2019,12,WN,Southwest Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",1011.00,215.00,85.71,0.73,25.14,0.00,103.42,3.00,0.00,9957.00,3807.00,24.00,817.00,0.00,5309.00
2019,12,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",63.00,15.00,8.00,0.00,3.00,0.00,4.00,0.00,0.00,1210.00,777.00,0.00,58.00,0.00,375.00
2019,12,YX,Republic Airline,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",492.00,97.00,21.61,2.64,28.62,0.00,44.13,5.00,1.00,6878.00,1319.00,160.00,1322.00,0.00,4077.00
2019,12,ZW,Air Wisconsin Airlines Corp,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",34.00,11.00,6.03,0.42,2.59,0.00,1.97,0.00,0.00,877.00,377.00,18.00,107.00,0.00,375.00
2019,11,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",699.00,55.00,16.39,0.00,12.97,0.00,25.64,0.00,0.00,2902.00,762.00,0.00,575.00,0.00,1565.00
2019,11,AA,American Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",958.00,136.00,60.55,0.03,33.75,0.00,41.67,6.00,0.00,7331.00,3367.00,4.00,1137.00,0.00,2823.00
2019,11,AS,Alaska Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",33.00,7.00,2.63,0.00,3.37,0.00,1.00,0.00,0.00,251.00,62.00,0.00,137.00,0.00,52.00
2019,11,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",288.00,61.00,31.24,0.00,13.58,0.00,16.18,0.00,0.00,3124.00,1732.00,0.00,344.00,0.00,1048.00
2019,11,DL,Delta Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",855.00,83.00,30.57,0.28,25.30,0.00,26.85,0.00,0.00,4898.00,2174.00,50.00,1041.00,0.00,1633.00
2019,11,EV,ExpressJet Airlines LLC,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",39.00,6.00,4.43,0.00,0.53,0.00,1.04,0.00,0.00,355.00,203.00,0.00,20.00,0.00,132.00
2019,11,F9,Frontier Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",218.00,48.00,17.99,0.00,8.08,0.00,21.93,2.00,0.00,2777.00,840.00,0.00,254.00,0.00,1683.00
2019,11,G4,Allegiant Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",14.00,2.00,1.46,0.00,0.00,0.00,0.54,0.00,0.00,66.00,40.00,0.00,0.00,0.00,26.00
2019,11,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",370.00,69.00,8.01,0.22,8.57,0.00,52.19,3.00,0.00,8926.00,1162.00,15.00,390.00,0.00,7359.00
2019,11,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",89.00,7.00,1.07,1.10,1.49,0.00,3.33,0.00,0.00,491.00,34.00,33.00,67.00,0.00,357.00
2019,11,NK,Spirit Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",193.00,32.00,11.06,0.16,12.11,0.00,8.67,4.00,0.00,2241.00,1095.00,13.00,437.00,0.00,696.00
2019,11,OH,PSA Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",124.00,19.00,5.86,0.00,5.78,0.00,7.36,1.00,0.00,886.00,217.00,0.00,150.00,0.00,519.00
2019,11,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",7.00,2.00,0.89,0.00,1.11,0.00,0.00,0.00,0.00,139.00,110.00,0.00,29.00,0.00,0.00
2019,11,UA,United Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",353.00,51.00,11.25,1.31,17.10,0.00,21.34,0.00,0.00,2962.00,960.00,74.00,554.00,0.00,1374.00
2019,11,WN,Southwest Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",977.00,113.00,51.88,1.16,6.46,0.75,52.75,6.00,0.00,5360.00,2419.00,68.00,218.00,12.00,2643.00
2019,11,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",97.00,12.00,5.00,0.00,1.00,0.00,6.00,0.00,0.00,870.00,322.00,0.00,50.00,0.00,498.00
2019,11,YX,Republic Airline,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",519.00,64.00,13.23,0.30,21.38,0.00,29.10,2.00,0.00,3116.00,668.00,19.00,820.00,0.00,1609.00
2019,10,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",775.00,99.00,21.76,0.05,22.45,0.00,54.74,3.00,2.00,6203.00,1813.00,5.00,868.00,0.00,3517.00
2019,10,AA,American Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",1058.00,177.00,60.08,3.99,43.68,0.17,69.09,10.00,4.00,10995.00,4257.00,309.00,1813.00,3.00,4613.00
2019,10,AS,Alaska Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",61.00,10.00,3.38,0.00,6.62,0.00,0.00,0.00,0.00,461.00,188.00,0.00,273.00,0.00,0.00
2019,10,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",327.00,62.00,32.24,0.00,12.84,0.66,16.27,2.00,1.00,4019.00,2367.00,0.00,488.00,21.00,1143.00
2019,10,DL,Delta Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",930.00,97.00,42.57,0.59,18.38,0.00,35.46,0.00,2.00,6093.00,2365.00,11.00,600.00,0.00,3117.00
2019,10,EV,ExpressJet Airlines LLC,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",17.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,196.00,58.00,0.00,138.00,0.00,0.00
2019,10,F9,Frontier Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",264.00,54.00,9.41,1.58,10.34,0.00,32.66,4.00,0.00,4247.00,554.00,83.00,621.00,0.00,2989.00
2019,10,G4,Allegiant Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",8.00,1.00,0.00,0.00,0.06,0.00,0.94,0.00,0.00,33.00,0.00,0.00,2.00,0.00,31.00
2019,10,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",471.00,86.00,10.29,0.37,14.22,0.00,61.12,1.00,0.00,6548.00,1052.00,8.00,582.00,0.00,4906.00
2019,10,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",84.00,10.00,0.00,0.00,4.87,0.00,5.13,2.00,0.00,637.00,0.00,0.00,335.00,0.00,302.00
2019,10,NK,Spirit Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",177.00,28.00,12.73,0.17,8.68,0.00,6.42,2.00,0.00,1664.00,733.00,16.00,538.00,0.00,377.00
2019,10,OH,PSA Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",118.00,36.00,7.27,0.91,16.55,0.08,11.19,3.00,1.00,2070.00,579.00,41.00,448.00,8.00,994.00
2019,10,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",36.00,6.00,1.00,0.00,1.23,0.00,3.77,0.00,0.00,347.00,31.00,0.00,59.00,0.00,257.00
2019,10,UA,United Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",382.00,52.00,12.66,0.74,13.75,0.00,24.86,0.00,1.00,2997.00,701.00,62.00,514.00,0.00,1720.00
2019,10,WN,Southwest Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",837.00,140.00,63.40,2.04,13.03,0.00,61.52,4.00,3.00,6669.00,2713.00,90.00,435.00,0.00,3431.00
2019,10,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",51.00,9.00,4.00,0.00,2.00,0.00,3.00,1.00,0.00,1006.00,513.00,0.00,42.00,0.00,451.00
2019,10,YX,Republic Airline,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",506.00,105.00,14.74,0.90,31.72,0.71,56.93,1.00,1.00,5636.00,805.00,45.00,1241.00,17.00,3528.00
2019,9,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",622.00,58.00,20.84,0.83,15.63,0.00,20.71,3.00,1.00,3774.00,1540.00,25.00,669.00,0.00,1540.00
2019,9,AA,American Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",999.00,154.00,48.25,3.34,35.61,0.00,66.80,10.00,0.00,8062.00,2160.00,197.00,1170.00,0.00,4535.00
2019,9,AS,Alaska Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",60.00,12.00,2.00,0.00,9.27,0.00,0.73,0.00,0.00,470.00,159.00,0.00,275.00,0.00,36.00
2019,9,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",325.00,47.00,24.00,0.03,4.93,0.03,18.01,3.00,1.00,3391.00,1692.00,12.00,200.00,4.00,1483.00
2019,9,DL,Delta Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",859.00,72.00,32.02,4.60,21.45,0.00,13.93,6.00,0.00,3408.00,1826.00,180.00,621.00,0.00,781.00
2019,9,EV,ExpressJet Airlines LLC,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",30.00,11.00,7.78,0.00,3.22,0.00,0.00,1.00,0.00,724.00,647.00,0.00,77.00,0.00,0.00
2019,9,F9,Frontier Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",319.00,42.00,17.47,0.00,7.19,0.00,17.34,4.00,0.00,3112.00,1576.00,0.00,228.00,0.00,1308.00
2019,9,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",502.00,58.00,8.50,0.00,5.47,0.00,44.03,2.00,0.00,6516.00,793.00,0.00,615.00,0.00,5108.00
2019,9,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",86.00,11.00,1.41,0.06,3.95,0.00,5.58,3.00,0.00,591.00,72.00,7.00,123.00,0.00,389.00
2019,9,NK,Spirit Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",188.00,27.00,9.27,1.22,11.19,0.00,5.31,11.00,0.00,1453.00,354.00,27.00,697.00,0.00,375.00
2019,9,OH,PSA Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",122.00,35.00,12.51,0.00,4.49,0.00,18.00,0.00,0.00,2711.00,879.00,0.00,188.00,0.00,1644.00
2019,9,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",56.00,10.00,0.65,1.65,2.79,0.00,4.91,2.00,0.00,704.00,30.00,343.00,118.00,0.00,213.00
2019,9,UA,United Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",315.00,56.00,15.74,1.82,12.81,0.00,25.63,3.00,0.00,5065.00,1344.00,200.00,631.00,0.00,2890.00
2019,9,WN,Southwest Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",831.00,67.00,36.57,1.81,5.93,1.00,21.69,11.00,1.00,3897.00,1902.00,81.00,165.00,35.00,1714.00
2019,9,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",90.00,23.00,8.00,2.00,10.00,0.00,3.00,2.00,0.00,1677.00,636.00,530.00,268.00,0.00,243.00
2019,9,YX,Republic Airline,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",469.00,64.00,9.53,1.70,24.91,0.17,27.69,2.00,0.00,3940.00,532.00,70.00,1153.00,24.00,2161.00
2019,8,DL,Delta Air Lines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",954.00,152.00,60.66,10.79,37.44,0.00,43.11,0.00,2.00,9083.00,3067.00,737.00,2452.00,0.00,2827.00
2019,8,EV,ExpressJet Airlines LLC,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",11.00,4.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,1147.00,23.00,0.00,1124.00,0.00,0.00
2019,8,F9,Frontier Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",372.00,85.00,22.47,0.03,25.82,0.00,36.67,4.00,1.00,5723.00,1258.00,1.00,1629.00,0.00,2835.00
2019,8,G4,Allegiant Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,8,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",648.00,143.00,17.20,2.34,22.25,0.00,101.21,15.00,1.00,16289.00,1651.00,185.00,1410.00,0.00,13043.00
2019,8,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",90.00,18.00,3.58,0.04,6.31,0.00,8.07,14.00,0.00,961.00,153.00,6.00,353.00,0.00,449.00
